AtomicNumber,Element,Period,Metal,Nonmetal,Metalloid,AtomicRadius,Electronegativity,FirstIonization,Density,MeltingPoint,BoilingPoint,SpecificHeat
1,Hydrogen,1,,yes,,0.79,2.2,13.5984,8.99E-05,14.175,20.28,14.304
2,Helium,1,,yes,,0.49,,24.5874,1.79E-04,,4.22,5.193
3,Lithium,2,yes,,,2.1,0.98,5.3917,5.34E-01,453.85,1615,3.582
4,Beryllium,2,yes,,,1.4,1.57,9.3227,1.85E+00,1560.15,2742,1.825
5,Boron,2,,,yes,1.2,2.04,8.298,2.34E+00,2573.15,4200,1.026
6,Carbon,2,,yes,,0.91,2.55,11.2603,2.27E+00,3948.15,4300,0.709
7,Nitrogen,2,,yes,,0.75,3.04,14.5341,1.25E-03,63.29,77.36,1.04
8,Oxygen,2,,yes,,0.65,3.44,13.6181,1.43E-03,50.5,90.2,0.918
9,Fluorine,2,,yes,,0.57,3.98,17.4228,1.70E-03,53.63,85.03,0.824
10,Neon,2,,yes,,0.51,,21.5645,9.00E-04,24.703,27.07,1.03
11,Sodium,3,yes,,,2.2,0.93,5.1391,9.71E-01,371.15,1156,1.228
12,Magnesium,3,yes,,,1.7,1.31,7.6462,1.74E+00,923.15,1363,1.023
13,Aluminum,3,yes,,,1.8,1.61,5.9858,2.70E+00,933.4,2792,0.897
14,Silicon,3,,,yes,1.5,1.9,8.1517,2.33E+00,1683.15,3538,0.705
15,Phosphorus,3,,yes,,1.2,2.19,10.4867,1.82E+00,317.25,553,0.769
16,Sulfur,3,,yes,,1.1,2.58,10.36,2.07E+00,388.51,717.8,0.71
17,Chlorine,3,,yes,,0.97,3.16,12.9676,3.21E-03,172.31,239.11,0.479
18,Argon,3,,yes,,0.88,,15.7596,1.78E-03,83.96,87.3,0.52
19,Potassium,4,yes,,,2.8,0.82,4.3407,8.62E-01,336.5,1032,0.757
20,Calcium,4,yes,,,2.2,1,6.1132,1.54E+00,1112.15,1757,0.647
21,Scandium,4,yes,,,2.1,1.36,6.5615,2.99E+00,1812.15,3109,0.568
22,Titanium,4,yes,,,2,1.54,6.8281,4.54E+00,1933.15,3560,0.523
23,Vanadium,4,yes,,,1.9,1.63,6.7462,6.11E+00,2175.15,3680,0.489
24,Chromium,4,yes,,,1.9,1.66,6.7665,7.15E+00,2130.15,2944,0.449
25,Manganese,4,yes,,,1.8,1.55,7.434,7.44E+00,1519.15,2334,0.479
26,Iron,4,yes,,,1.7,1.83,7.9024,7.87E+00,1808.15,3134,0.449
27,Cobalt,4,yes,,,1.7,1.88,7.881,8.86E+00,1768.15,3200,0.421
28,Nickel,4,yes,,,1.6,1.91,7.6398,8.91E+00,1726.15,3186,0.444
29,Copper,4,yes,,,1.6,1.9,7.7264,8.96E+00,1357.75,2835,0.385
30,Zinc,4,yes,,,1.5,1.65,9.3942,7.13E+00,692.88,1180,0.388
31,Gallium,4,yes,,,1.8,1.81,5.9993,5.91E+00,302.91,2477,0.371
32,Germanium,4,,,yes,1.5,2.01,7.8994,5.32E+00,1211.45,3106,0.32
33,Arsenic,4,,,yes,1.3,2.18,9.7886,5.78E+00,1090.15,887,0.329
34,Selenium,4,,yes,,1.2,2.55,9.7524,4.81E+00,494.15,958,0.321
35,Bromine,4,,yes,,1.1,2.96,11.8138,3.12E+00,266.05,332,0.474
36,Krypton,4,,yes,,1,,13.9996,3.73E-03,115.93,119.93,0.248
37,Rubidium,5,yes,,,3,0.82,4.1771,1.53E+00,312.79,961,0.363
38,Strontium,5,yes,,,2.5,0.95,5.6949,2.64E+00,1042.15,1655,0.301
39,Yttrium,5,yes,,,2.3,1.22,6.2173,4.47E+00,1799.15,3609,0.298
40,Zirconium,5,yes,,,2.2,1.33,6.6339,6.51E+00,2125.15,4682,0.278
41,Niobium,5,yes,,,2.1,1.6,6.7589,8.57E+00,2741.15,5017,0.265
42,Molybdenum,5,yes,,,2,2.16,7.0924,1.02E+01,2890.15,4912,0.251
43,Technetium,5,yes,,,2,1.9,7.28,1.15E+01,2473.15,5150,
44,Ruthenium,5,yes,,,1.9,2.2,7.3605,1.24E+01,2523.15,4423,0.238
45,Rhodium,5,yes,,,1.8,2.28,7.4589,1.24E+01,2239.15,3968,0.243
46,Palladium,5,yes,,,1.8,2.2,8.3369,1.20E+01,1825.15,3236,0.244
47,Silver,5,yes,,,1.8,1.93,7.5762,1.05E+01,1234.15,2435,0.235
48,Cadmium,5,yes,,,1.7,1.69,8.9938,8.69E+00,594.33,1040,0.232
49,Indium,5,yes,,,2,1.78,5.7864,7.31E+00,429.91,2345,0.233
50,Tin,5,yes,,,1.7,1.96,7.3439,7.29E+00,505.21,2875,0.228
51,Antimony,5,,,yes,1.5,2.05,8.6084,6.69E+00,904.05,1860,0.207
52,Tellurium,5,,,yes,1.4,2.1,9.0096,6.23E+00,722.8,1261,0.202
53,Iodine,5,,yes,,1.3,2.66,10.4513,4.93E+00,386.65,457.4,0.214
54,Xenon,5,,yes,,1.2,,12.1298,5.89E-03,161.45,165.03,0.158
55,Cesium,6,yes,,,3.3,0.79,3.8939,1.87E+00,301.7,944,0.242
56,Barium,6,yes,,,2.8,0.89,5.2117,3.59E+00,1002.15,2170,0.204
57,Lanthanum,6,yes,,,2.7,1.1,5.5769,6.15E+00,1193.15,3737,0.195
58,Cerium,6,yes,,,2.7,1.12,5.5387,6.77E+00,1071.15,3716,0.192
59,Praseodymium,6,yes,,,2.7,1.13,5.473,6.77E+00,1204.15,3793,0.193
60,Neodymium,6,yes,,,2.6,1.14,5.525,7.01E+00,1289.15,3347,0.19
61,Promethium,6,yes,,,2.6,1.13,5.582,7.26E+00,1204.15,3273,
62,Samarium,6,yes,,,2.6,1.17,5.6437,7.52E+00,1345.15,2067,0.197
63,Europium,6,yes,,,2.6,1.2,5.6704,5.24E+00,1095.15,1802,0.182
64,Gadolinium,6,yes,,,2.5,1.2,6.1501,7.90E+00,1585.15,3546,0.236
65,Terbium,6,yes,,,2.5,1.2,5.8638,8.23E+00,1630.15,3503,0.182
66,Dysprosium,6,yes,,,2.5,1.22,5.9389,8.55E+00,1680.15,2840,0.17
67,Holmium,6,yes,,,2.5,1.23,6.0215,8.80E+00,1743.15,2993,0.165
68,Erbium,6,yes,,,2.5,1.24,6.1077,9.07E+00,1795.15,3503,0.168
69,Thulium,6,yes,,,2.4,1.25,6.1843,9.32E+00,1818.15,2223,0.16
70,Ytterbium,6,yes,,,2.4,1.1,6.2542,6.97E+00,1097.15,1469,0.155
71,Lutetium,6,yes,,,2.3,1.27,5.4259,9.84E+00,1936.15,3675,0.154
